target_proteome,forward_query,f_bbhit,r_bbhit,recip_best_hit
GCF_000026645.1,ABJ12623.1,WP_003113127.1,ABJ12623.1,True
GCF_000007805.1,ABJ12623.1,WP_011102966.1,ABJ13915.1,False
GCA_000014625.1,ABJ12623.1,ABJ12623.1,ABJ12623.1,True
